round,test_loss,test_accuracy,train_loss,train_acc,mean_diff_acc,var_diff_acc
1,0.03373804146051407,60.3515625,1.3666787073016167,32.42187488079071,-4.440892098500626e-16,14.563666508291613
2,0.028786239922046663,54.1015625,0.995375311623017,60.35156226158142,1.7763568394002505e-15,31.79055544444263
3,0.024010422594845295,63.57421875,0.8226908911019564,63.86718702316284,8.881784197001252e-16,12.195255743040809
4,0.017922603398561478,75.09765625,0.7068485307196776,71.35416646798451,5.329070518200751e-15,41.92587764082877
5,0.012430110136047006,86.62109375,0.58810326953729,76.30208285649617,3.552713678800501e-15,17.775547182486527
6,0.011334641661494971,86.23046875,0.4740132522218081,81.42006780663316,0.0438456738076205,50.0526637092687
7,0.009475545439869166,89.453125,0.40053668025196815,85.77806091308594,0.06643281664167233,8.502131625615906
8,0.010293741419911384,86.23046875,0.37081908024087246,86.77721054699956,0.11205002888530835,12.354035250599592
9,0.010519821807742118,86.42578125,0.3456773759486775,88.21614535649617,7.105427357601002e-15,20.506589392913128
10,0.011577263424172998,84.08203125,0.3220832878533675,87.90391104561942,0.06111819403511731,15.556161865802368
